player,elo
Jannik Sinner,1984.265304573119
Iga Swiatek,1869.1069486513884
Aryna Sabalenka,1851.2301248994306
Novak Djokovic,1820.7295989055986
Alexander Zverev,1819.7037932590717
Carlos Alcaraz,1810.36210108932
Coco Gauff,1803.6258533830078
Qinwen Zheng,1794.9664157931827
Taylor Fritz,1793.920899186756
Jack Draper,1730.6015534006303
Paula Badosa,1723.8616821086857
Elena Rybakina,1714.4747014526984
Daniil Medvedev,1710.0141642902834
Holger Rune,1705.7366572080387
Grigor Dimitrov,1702.7642601132404
Jessica Pegula,1702.2039571102223
Jasmine Paolini,1700.3642706696562
Diana Shnaider,1695.4691968493862
Karolina Muchova,1694.970032119255
Tommy Paul,1688.4781163236557
Alex De Minaur,1687.970110993045
Mirra Andreeva,1686.1127464777023
Karen Khachanov,1675.6549502549374
Ugo Humbert,1674.0518142981275
Sebastian Korda,1673.056442072008
Yulia Putintseva,1670.035791502862
Emma Navarro,1664.9622445627263
Matteo Berrettini,1661.5487996976647
Stefanos Tsitsipas,1660.361479815943
Daria Kasatkina,1655.7845623350672
Lorenzo Musetti,1648.9693059025476
Hubert Hurkacz,1647.191491244179
Rebecca Sramkova,1646.423080707511
Ben Shelton,1646.336738611579
Donna Vekic,1644.3294632581794
Madison Keys,1644.0474455584404
Beatriz Haddad Maia,1642.541414938963
Tomas Machac,1641.6530959734405
Marta Kostyuk,1640.397161900061
Alexei Popyrin,1634.217917638276
Emma Raducanu,1632.067860614301
Arthur Fils,1630.883430277172
Anna Kalinskaya,1625.195713913231
Danielle Collins,1625.183179783409
Frances Tiafoe,1624.7814399012916
Elina Svitolina,1623.8426620557432
Victoria Azarenka,1621.0682257841659
Jordan Thompson,1618.8144140143886
Flavio Cobolli,1615.2622193273467
Katie Boulter,1614.7636033659467
Joao Fonseca,1614.3190238645157
Barbora Krejcikova,1613.8817836555495
Denis Shapovalov,1608.799401607603
Jiri Lehecka,1607.643947236574
Jan Lennard Struff,1607.2937703476302
Amanda Anisimova,1603.2492538346125
Casper Ruud,1601.676274215082
David Goffin,1600.6572599962865
Alex Michelsen,1599.2386214805488
Gael Monfils,1596.3173640130483
Francisco Cerundolo,1595.7127050147749
Linda Noskova,1595.1847331734407
Sonay Kartal,1591.3403196774777
Olga Danilovic,1591.3096962344089
Giovanni Mpetshi Perricard,1589.4444527725693
Leylah Fernandez,1586.7403875681698
Tallon Griekspoor,1586.7038431393362
Felix Auger Aliassime,1586.151470771311
Roberto Bautista Agut,1585.5966256557813
Magdalena Frech,1583.5491727684773
Andrey Rublev,1581.4021246756356
Naomi Osaka,1579.0430427264023
Maria Sakkari,1575.6396369244137
Bu Yunchaokete,1574.9894919123524
Magda Linette,1572.9250187453629
Brandon Nakashima,1568.7268996210944
Liudmila Samsonova,1567.0462185560677
Peyton Stearns,1566.949634835557
Suzan Lamens,1566.3616562362513
Marcos Giron,1565.6658992879918
Anastasia Pavlyuchenkova,1563.305594247119
Marketa Vondrousova,1560.3748518315922
Rafael Nadal,1560.3358455858493
Caroline Wozniacki,1559.378480001018
Jakub Mensik,1558.6651393117297
Thanasi Kokkinakis,1558.1997151339192
Marie Bouzkova,1555.4257730221439
Yannick Hanfmann,1554.0239936170112
Zeynep Sonmez,1551.517584406891
Cameron Norrie,1551.0372004390156
Learner Tien,1550.5692114919095
Ekaterina Alexandrova,1550.3314832165852
Zsombor Piros,1547.8889722134825
Ons Jabeur,1545.9644532742961
Matteo Arnaldi,1545.7076693645606
Tomas Martin Etcheverry,1544.187023297327
Katerina Siniakova,1542.81988713956
Taylor Townsend,1541.2720820270108
Jelena Ostapenko,1539.2205144436907
Viktorija Golubic,1538.4973728967004
Diane Parry,1538.403218102477
Anastasia Potapova,1538.226408268114
Mayar Sherif,1537.1139972335673
Camila Osorio,1536.1334315112122
Eva Lys,1534.9527840917212
Ann Li,1534.3872634827476
Polina Kudermetova,1533.0789706853755
Facundo Bagnis,1533.0176207019929
Nam Hoang Ly,1532.6684908377624
Zizou Bergs,1532.6663400024847
Alex Knaff,1532.6026009812463
Elmer Moller,1532.0783420069974
Ricardas Berankis,1532.0
Oliver Ojakaar,1531.9661669788793
Arthur Rinderknech,1531.6848308927692
Cezar Cretu,1531.5598052248745
Franco Roncadelli,1531.2767770658227
Blaise Bicknell,1531.263693206478
Fitriadi M Rifqi,1531.263693206478
Darian King,1531.1696881316677
Katarzyna Kawa,1531.1543773806522
Elise Mertens,1531.1007800922494
Lulu Sun,1531.098948020013
Thomas Yaka Kofi Setodji,1530.498210389158
Aleksandar Vukic,1530.4343932822383
Aleksandre Bakshi,1530.4047607402513
Quentin Halys,1529.8285383516852
Nicolai Budkov Kjaer,1529.7973833540852
Sara Bejlek,1529.3395381218018
Xin Yu Wang,1529.0950535073532
Anastasija Sevastova,1528.6216661251258
Mananchaya Sawangkaew,1528.5285446771638
Alibek Kachmazov,1527.1589431610694
Irina Camelia Begu,1526.5769778927931
Yoshihito Nishioka,1526.5591181510492
Hamad Medjedovic,1526.4729005979798
Yue Yuan,1525.941178107895
Nuno Borges,1525.7304831700858
Lukas Neumayer,1525.5591107920416
Bianca Andreescu,1524.9972225538254
Henrique Rocha,1523.7964400256737
Lucia Bronzetti,1523.7430848606596
Kei Nishikori,1523.3952303544154
Karolina Pliskova,1523.0975950079596
Yuliia Starodubtseva,1521.794894293329
Miomir Kecmanovic,1521.640046824075
Beibit Zhukayev,1521.4006800867433
Elina Avanesyan,1520.5998265598203
Martin Damm,1520.4624599142528
Milos Raonic,1520.2657803552472
Pablo Carreno Busta,1519.4379093616126
Tung Lin Wu,1519.420130516212
Timofey Skatov,1519.1937578729987
Lea Boskovic,1518.7986018387248
Yasutaka Uchiyama,1518.6090458219053
Alejandro Tabilo,1518.2538425619869
Matej Dodig,1517.5203541977128
Oksana Selekhmeteva,1517.4161387864062
Yanaki Milev,1517.4018288862171
Benjamin Bonzi,1517.1564623530044
Hugo Nys,1516.736306793522
Iliyan Radulov,1516.736306793522
Jack Loutit,1516.7347685390994
Laura Siegemund,1516.4634550206968
Demetris Azoides,1516.295078722086
Yshai Oliel,1516.0138721672017
Hong Kit Jack Wong,1516.0
Nerman Fatic,1516.0
Lucas Miedler,1516.0
Belinda Bencic,1516.0
Benedict Badza,1516.0
Stylianos Christodoulou,1516.0
Boris Arias,1516.0
Gonzalo Escobar,1516.0
Niki Kaliyanda Poonacha,1516.0
Liova Ayite Ajavon,1516.0
Remy Bertola,1516.0
Juan Carlos Prado Angelo,1516.0
Diego Duran,1516.0
Viktor Durasovic,1516.0
Martyn Pawelski,1516.0
Romain Arneodo,1515.9012279506185
Anastasia Zakharova,1515.7920757962297
Roberto Carballes Baena,1515.7285879176977
Khumoun Sultanov,1515.6678665117242
Marcelo Arevalo,1515.3343214512422
Altug Celikbilek,1515.263693206478
Andres Andrade,1514.4957712380422
Selena Janicijevic,1514.3922288788353
Lukas Pokorny,1514.3899912614675
Sofia Kenin,1513.8938677447786
Mohamed Safwat,1513.7000513363064
Jazmin Ortenzi,1513.6935609852396
Aoi Ito,1513.5769606616884
Roman Safiullin,1513.1116571755786
August Holmgren,1512.7083209149903
Laura Samson,1512.5765989747583
Astra Sharma,1512.533129962518
Gabriel Diallo,1511.2994417970478
Alex Bolt,1510.7273578552545
Caroline Garcia,1510.628603185935
Ena Shibahara,1510.5865850800956
Emil Ruusuvuori,1510.3514839199731
Ioannis Xilas,1510.258543270224
Jil Teichmann,1510.1363200713351
Chloe Paquet,1508.5486585845154
Alina Korneeva,1507.8488553789293
Sayaka Ishii,1507.6026876971541
Michael Mmoh,1506.952864433544
Vasek Pospisil,1506.6762683644336
Leandro Riedi,1505.7751225194406
Kamilla Rakhimova,1505.5802423630882
Antonia Ruzic,1505.3332834792038
Jozef Kovalik,1505.3175728890617
Camilla Rosatello,1505.1689811357583
Marco Trungelliti,1505.1531258842037
Sofia Costoulas,1505.057143437188
Jodie Burrage,1504.9555276428644
Yafan Wang,1504.809855294313
Pablo Llamas Ruiz,1504.1499971309504
Juncheng Shang,1504.0341574634997
Jerome Kym,1503.8929871825685
Paul Jubb,1503.6702615497456
Iva Jovic,1503.529804084283
Giles Hussey,1503.411798871994
Justin Engel,1502.6779095437691
Mccartney Kessler,1502.3196467660855
Cristian Garin,1502.2416681293998
Daniel Cukierman,1501.9736043096323
Storm Hunter,1501.9726239390088
Viktoria Hruncakova,1501.9209227836059
Gabi Adrian Boitan,1501.6882366647446
Xiyu Wang,1501.5779931793945
Renata Zarazua,1501.5311766015946
Michael Agwi,1501.3277844562024
Sebastian Dominko,1500.8746314757116
Kaja Juvan,1500.8075367082247
Aqeel Khan,1500.7701398146428
Benjamin Balleret,1500.736306793522
Alan Fernando Rubio Fierros,1500.736306793522
Carole Monnet,1500.6986580048447
Komlavi Loglo,1500.6684908377624
Leolia Jeanjean,1500.2959723592132
David Jorda Sanchis,1500.0913614878095
Lina Glushko,1500.0472017277998
Amr Elsayed Abdou Ahmed Mohamed,1500.0
Angela Fita Boluda,1499.8715695189703
Aziz Dougaz,1499.8609393431157
Aristotelis Thanos,1499.4414260272945
Skander Mansouri,1499.2889321141038
Yassine Dlimi,1499.263693206478
Kris Van Wyk,1499.263693206478
Juan Carlos Fuentes Vasquez,1499.263693206478
Murkel Alejandro Dellien Velasco,1499.263693206478
Daniel Vallejo,1499.263693206478
Sina Moghimi,1499.263693206478
Chris Rodesch,1499.23175794951
