match_id,date,tournament,surface,best_of,round,player_a,player_b,winner,rank_a,rank_b,svpt_a,svpt_b,first_in_a,first_in_b,first_won_a,first_won_b,second_won_a,second_won_b,ace_a,ace_b,df_a,df_b,bp_saved_a,bp_saved_b,bp_faced_a,bp_faced_b
ATP:2024-0336:271,2024-01-01,Hong Kong,Hard,3,R32,Benjamin Bonzi,Emil Ruusuvuori,B,73.0,69.0,113.0,98.0,71.0,51.0,44.0,33.0,13.0,25.0,5.0,5.0,2.0,4.0,17.0,4.0,25.0,7.0
WTA:2024-800:248,2024-01-01,Brisbane,Hard,3,R64,Arina Rodionova,Martina Trevisan,A,113.0,46.0,51.0,61.0,37.0,37.0,26.0,23.0,7.0,5.0,1.0,2.0,1.0,5.0,1.0,9.0,3.0,14.0
WTA:2024-800:251,2024-01-01,Brisbane,Hard,3,R64,Linda Noskova,Timea Babos,A,40.0,192.0,132.0,123.0,76.0,72.0,61.0,57.0,29.0,31.0,5.0,18.0,6.0,4.0,6.0,9.0,7.0,9.0
WTA:2024-800:255,2024-01-01,Brisbane,Hard,3,R64,Anna Kalinskaya,Bernarda Pera,A,80.0,69.0,44.0,43.0,27.0,30.0,21.0,14.0,11.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0
WTA:2024-800:256,2024-01-01,Brisbane,Hard,3,R64,Zeynep Sonmez,Clara Burel,B,163.0,56.0,53.0,56.0,35.0,31.0,23.0,23.0,6.0,13.0,0.0,1.0,3.0,4.0,3.0,4.0,7.0,5.0
WTA:2024-800:259,2024-01-01,Brisbane,Hard,3,R64,Tamara Korpatsch,Naomi Osaka,B,83.0,,85.0,62.0,50.0,41.0,34.0,30.0,10.0,10.0,1.0,5.0,5.0,1.0,4.0,0.0,8.0,2.0
WTA:2024-800:260,2024-01-01,Brisbane,Hard,3,R64,Peyton Stearns,Camila Giorgi,B,49.0,55.0,100.0,105.0,44.0,60.0,33.0,40.0,20.0,22.0,7.0,4.0,10.0,7.0,6.0,9.0,12.0,13.0
WTA:2024-800:263,2024-01-01,Brisbane,Hard,3,R64,Marta Kostyuk,Ana Bogdan,A,38.0,66.0,80.0,93.0,58.0,60.0,48.0,42.0,10.0,15.0,9.0,3.0,4.0,5.0,0.0,8.0,1.0,11.0
WTA:2024-800:264,2024-01-01,Brisbane,Hard,3,R64,Cristina Bucsa,Greet Minnen,A,61.0,64.0,73.0,109.0,47.0,66.0,36.0,39.0,13.0,19.0,3.0,3.0,2.0,3.0,2.0,15.0,5.0,21.0
WTA:2024-800:267,2024-01-01,Brisbane,Hard,3,R64,Danielle Collins,Hailey Baptiste,A,54.0,129.0,82.0,75.0,43.0,40.0,29.0,30.0,24.0,12.0,2.0,5.0,6.0,4.0,4.0,6.0,6.0,11.0
WTA:2024-800:268,2024-01-01,Brisbane,Hard,3,R64,Ashlyn Krueger,Lucia Bronzetti,B,78.0,52.0,86.0,75.0,53.0,41.0,34.0,26.0,10.0,18.0,4.0,1.0,10.0,3.0,10.0,1.0,15.0,4.0
WTA:2024-800:270,2024-01-01,Brisbane,Hard,3,R32,Elena Rybakina,Olivia Gadecki,A,4.0,124.0,53.0,54.0,35.0,34.0,28.0,23.0,10.0,7.0,4.0,0.0,1.0,2.0,3.0,2.0,3.0,5.0
WTA:2024-800:271,2024-01-01,Brisbane,Hard,3,R32,Elise Mertens,Sloane Stephens,A,30.0,44.0,63.0,66.0,33.0,47.0,23.0,29.0,17.0,8.0,5.0,1.0,4.0,2.0,2.0,3.0,5.0,8.0
WTA:2024-800:272,2024-01-01,Brisbane,Hard,3,R32,Anastasia Potapova,Daria Saville,A,28.0,209.0,99.0,122.0,52.0,84.0,32.0,47.0,21.0,17.0,3.0,1.0,4.0,11.0,5.0,11.0,11.0,17.0
WTA:2024-800:273,2024-01-01,Brisbane,Hard,3,R32,Anna Karolina Schmiedlova,Veronika Kudermetova,B,73.0,16.0,47.0,44.0,28.0,30.0,19.0,26.0,7.0,9.0,1.0,12.0,2.0,2.0,3.0,0.0,7.0,0.0
WTA:2024-800:274,2024-01-01,Brisbane,Hard,3,R32,Liudmila Samsonova,Mirra Andreeva,B,15.0,58.0,49.0,44.0,21.0,27.0,15.0,21.0,7.0,10.0,4.0,2.0,7.0,3.0,2.0,2.0,7.0,2.0
WTA:2024-800:275,2024-01-01,Brisbane,Hard,3,R32,Sofia Kenin,Arina Rodionova,B,37.0,113.0,126.0,78.0,84.0,57.0,52.0,36.0,14.0,12.0,1.0,4.0,4.0,3.0,17.0,2.0,21.0,5.0
WTA:2024-800:276,2024-01-01,Brisbane,Hard,3,R32,Linda Noskova,Sorana Cirstea,A,40.0,26.0,130.0,100.0,83.0,67.0,55.0,43.0,25.0,20.0,8.0,10.0,4.0,1.0,11.0,5.0,13.0,8.0
