match_id,date,tournament,surface,best_of,round,player_a,player_b,winner,rank_a,rank_b,svpt_a,svpt_b,first_in_a,first_in_b,first_won_a,first_won_b,second_won_a,second_won_b,ace_a,ace_b,df_a,df_b,bp_saved_a,bp_saved_b,bp_faced_a,bp_faced_b
ATP:2024-0336:271,2024-01-01,Hong Kong,Hard,3,R32,Benjamin Bonzi,Emil Ruusuvuori,B,73.0,69.0,113.0,98.0,71.0,51.0,44.0,33.0,13.0,25.0,5.0,5.0,2.0,4.0,17.0,4.0,25.0,7.0
ATP:2024-0336:272,2024-01-01,Hong Kong,Hard,3,R32,Nuno Borges,Pavel Kotov,B,66.0,67.0,65.0,57.0,34.0,45.0,20.0,33.0,15.0,6.0,4.0,4.0,2.0,2.0,2.0,2.0,6.0,3.0
ATP:2024-0336:273,2024-01-01,Hong Kong,Hard,3,R32,Lorenzo Musetti,Chak Lam Coleman Wong,A,27.0,,63.0,80.0,42.0,46.0,32.0,32.0,13.0,16.0,4.0,6.0,2.0,4.0,2.0,5.0,3.0,8.0
ATP:2024-0336:275,2024-01-01,Hong Kong,Hard,3,R32,Roberto Bautista Agut,Fabian Marozsan,A,57.0,64.0,56.0,44.0,38.0,30.0,27.0,21.0,12.0,3.0,3.0,7.0,0.0,4.0,5.0,2.0,6.0,6.0
ATP:2024-0336:276,2024-01-01,Hong Kong,Hard,3,R32,Mackenzie Mcdonald,Sebastian Ofner,B,41.0,43.0,46.0,44.0,30.0,27.0,17.0,20.0,4.0,8.0,0.0,6.0,3.0,2.0,2.0,0.0,7.0,1.0
ATP:2024-0336:277,2024-01-01,Hong Kong,Hard,3,R32,Jan Lennard Struff,Marin Cilic,A,25.0,674.0,124.0,130.0,69.0,64.0,49.0,49.0,26.0,31.0,11.0,20.0,4.0,12.0,6.0,7.0,10.0,10.0
ATP:2024-0336:278,2024-01-01,Hong Kong,Hard,3,R32,Juncheng Shang,Laslo Djere,A,183.0,33.0,96.0,122.0,64.0,88.0,52.0,65.0,19.0,11.0,4.0,11.0,0.0,3.0,0.0,7.0,2.0,11.0
ATP:2024-0336:279,2024-01-01,Hong Kong,Hard,3,R32,Shintaro Mochizuki,Botic Van De Zandschulp,B,137.0,50.0,59.0,71.0,26.0,42.0,20.0,30.0,10.0,14.0,1.0,3.0,1.0,3.0,5.0,10.0,10.0,12.0
ATP:2024-0336:280,2024-01-01,Hong Kong,Hard,3,R32,Miomir Kecmanovic,Taro Daniel,A,54.0,75.0,46.0,59.0,32.0,39.0,25.0,24.0,10.0,6.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,7.0
ATP:2024-0336:282,2024-01-01,Hong Kong,Hard,3,R32,Borna Gojo,Arthur Fils,B,72.0,36.0,76.0,79.0,47.0,48.0,35.0,38.0,11.0,16.0,9.0,2.0,2.0,2.0,2.0,7.0,6.0,8.0
ATP:2024-0336:283,2024-01-01,Hong Kong,Hard,3,R32,Vitaliy Sachko,Marc Andrea Huesler,B,169.0,194.0,54.0,61.0,36.0,39.0,28.0,28.0,9.0,15.0,3.0,10.0,2.0,1.0,1.0,4.0,3.0,4.0
ATP:2024-0336:284,2024-01-01,Hong Kong,Hard,3,R32,Pedro Cachin,Liam Broady,B,70.0,108.0,42.0,46.0,30.0,29.0,13.0,21.0,5.0,11.0,1.0,2.0,1.0,2.0,2.0,2.0,7.0,3.0
ATP:2024-0336:286,2024-01-01,Hong Kong,Hard,3,R16,Emil Ruusuvuori,Karen Khachanov,A,69.0,15.0,96.0,99.0,58.0,55.0,41.0,37.0,20.0,22.0,5.0,10.0,3.0,0.0,5.0,5.0,8.0,8.0
ATP:2024-0336:287,2024-01-01,Hong Kong,Hard,3,R16,Lorenzo Musetti,Pavel Kotov,B,27.0,67.0,59.0,71.0,43.0,48.0,29.0,38.0,7.0,8.0,1.0,2.0,0.0,4.0,1.0,4.0,4.0,4.0
ATP:2024-0336:288,2024-01-01,Hong Kong,Hard,3,R16,Roberto Bautista Agut,Francisco Cerundolo,A,57.0,21.0,67.0,60.0,47.0,36.0,38.0,26.0,9.0,12.0,2.0,6.0,0.0,3.0,4.0,0.0,4.0,2.0
ATP:2024-0336:289,2024-01-01,Hong Kong,Hard,3,R16,Jan Lennard Struff,Sebastian Ofner,B,25.0,43.0,131.0,123.0,76.0,70.0,56.0,55.0,29.0,29.0,14.0,16.0,4.0,1.0,10.0,4.0,12.0,6.0
ATP:2024-0336:290,2024-01-01,Hong Kong,Hard,3,R16,Juncheng Shang,Botic Van De Zandschulp,A,183.0,50.0,129.0,116.0,70.0,72.0,51.0,50.0,31.0,25.0,2.0,13.0,6.0,1.0,5.0,4.0,8.0,7.0
ATP:2024-0336:291,2024-01-01,Hong Kong,Hard,3,R16,Frances Tiafoe,Miomir Kecmanovic,A,16.0,54.0,69.0,70.0,42.0,39.0,37.0,28.0,14.0,18.0,8.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0
ATP:2024-0336:292,2024-01-01,Hong Kong,Hard,3,R16,Arthur Fils,Marc Andrea Huesler,A,36.0,194.0,78.0,94.0,51.0,55.0,38.0,37.0,11.0,16.0,3.0,9.0,5.0,4.0,5.0,11.0,7.0,15.0
ATP:2024-0336:293,2024-01-01,Hong Kong,Hard,3,R16,Andrey Rublev,Liam Broady,A,5.0,108.0,69.0,91.0,38.0,62.0,31.0,43.0,18.0,10.0,10.0,4.0,3.0,2.0,1.0,7.0,3.0,10.0
ATP:2024-0336:294,2024-01-01,Hong Kong,Hard,3,QF,Pavel Kotov,Emil Ruusuvuori,B,67.0,69.0,63.0,76.0,45.0,44.0,30.0,33.0,10.0,19.0,3.0,5.0,2.0,0.0,1.0,5.0,3.0,6.0
ATP:2024-0336:295,2024-01-01,Hong Kong,Hard,3,QF,Roberto Bautista Agut,Sebastian Ofner,B,57.0,43.0,68.0,57.0,50.0,43.0,35.0,35.0,8.0,7.0,0.0,21.0,2.0,0.0,4.0,0.0,6.0,0.0
ATP:2024-0336:296,2024-01-01,Hong Kong,Hard,3,QF,Juncheng Shang,Frances Tiafoe,A,183.0,16.0,54.0,56.0,25.0,34.0,19.0,28.0,23.0,11.0,3.0,12.0,1.0,2.0,1.0,6.0,1.0,8.0
ATP:2024-0336:297,2024-01-01,Hong Kong,Hard,3,QF,Andrey Rublev,Arthur Fils,A,5.0,36.0,65.0,92.0,41.0,53.0,31.0,38.0,15.0,15.0,8.0,12.0,0.0,7.0,4.0,7.0,6.0,10.0
ATP:2024-0336:298,2024-01-01,Hong Kong,Hard,3,SF,Sebastian Ofner,Emil Ruusuvuori,B,43.0,69.0,100.0,88.0,56.0,60.0,40.0,48.0,22.0,16.0,11.0,9.0,1.0,1.0,9.0,2.0,12.0,4.0
ATP:2024-0336:299,2024-01-01,Hong Kong,Hard,3,SF,Andrey Rublev,Juncheng Shang,A,5.0,183.0,98.0,78.0,55.0,45.0,38.0,27.0,29.0,19.0,12.0,4.0,1.0,3.0,13.0,5.0,14.0,8.0
ATP:2024-0336:300,2024-01-01,Hong Kong,Hard,3,F,Andrey Rublev,Emil Ruusuvuori,A,5.0,69.0,58.0,62.0,40.0,39.0,29.0,26.0,14.0,12.0,5.0,5.0,0.0,4.0,1.0,5.0,1.0,7.0
ATP:2024-0339:270,2024-01-01,Brisbane,Hard,3,R32,Andy Murray,Grigor Dimitrov,B,42.0,14.0,86.0,82.0,51.0,51.0,32.0,42.0,21.0,16.0,4.0,13.0,0.0,2.0,4.0,3.0,8.0,5.0
ATP:2024-0339:271,2024-01-01,Brisbane,Hard,3,R32,Daniel Altmaier,Li Tu,A,56.0,225.0,81.0,83.0,55.0,46.0,42.0,38.0,17.0,22.0,7.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0
ATP:2024-0339:272,2024-01-01,Brisbane,Hard,3,R32,Thanasi Kokkinakis,Rinky Hijikata,B,65.0,71.0,62.0,67.0,47.0,39.0,36.0,33.0,6.0,16.0,16.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0
ATP:2024-0339:273,2024-01-01,Brisbane,Hard,3,R32,Tomas Martin Etcheverry,Tomas Machac,B,30.0,78.0,116.0,111.0,82.0,70.0,59.0,57.0,17.0,21.0,6.0,5.0,2.0,1.0,5.0,4.0,8.0,6.0
ATP:2024-0339:274,2024-01-01,Brisbane,Hard,3,R32,Ugo Humbert,Alex Michelsen,A,20.0,97.0,53.0,72.0,29.0,38.0,24.0,24.0,19.0,18.0,4.0,5.0,1.0,5.0,2.0,8.0,2.0,10.0
