match_id,date,tournament,surface,best_of,round,player_a,player_b,winner,rank_a,rank_b,svpt_a,svpt_b,first_in_a,first_in_b,first_won_a,first_won_b,second_won_a,second_won_b,ace_a,ace_b,df_a,df_b,bp_saved_a,bp_saved_b,bp_faced_a,bp_faced_b
WTA:2024-1049:270,2024-01-01,Auckland,Hard,3,R32,Elina Svitolina,Caroline Wozniacki,A,25.0,256.0,75.0,66.0,44.0,36.0,25.0,20.0,17.0,13.0,5.0,1.0,1.0,3.0,6.0,5.0,9.0,10.0
WTA:2024-1049:271,2024-01-01,Auckland,Hard,3,R32,Elena Gabriela Ruse,Emma Raducanu,B,134.0,301.0,95.0,93.0,63.0,61.0,37.0,39.0,15.0,15.0,2.0,3.0,2.0,6.0,7.0,1.0,13.0,6.0
WTA:2024-1049:272,2024-01-01,Auckland,Hard,3,R32,Amanda Anisimova,Anastasia Pavlyuchenkova,A,373.0,60.0,94.0,74.0,58.0,41.0,35.0,22.0,13.0,11.0,6.0,1.0,4.0,2.0,8.0,7.0,13.0,14.0
WTA:2024-1049:273,2024-01-01,Auckland,Hard,3,R32,Marie Bouzkova,Magdalena Frech,A,36.0,70.0,66.0,100.0,43.0,58.0,30.0,33.0,11.0,18.0,1.0,0.0,3.0,2.0,1.0,10.0,4.0,16.0
WTA:2024-1049:274,2024-01-01,Auckland,Hard,3,R32,Sachia Vickery,Lesia Tsurenko,B,143.0,32.0,66.0,71.0,38.0,49.0,26.0,33.0,10.0,12.0,1.0,0.0,3.0,4.0,5.0,7.0,9.0,9.0
WTA:2024-1049:275,2024-01-01,Auckland,Hard,3,R32,Emina Bektas,Diane Parry,B,91.0,76.0,109.0,111.0,73.0,54.0,48.0,45.0,21.0,30.0,10.0,13.0,2.0,7.0,3.0,3.0,6.0,4.0
WTA:2024-1049:276,2024-01-01,Auckland,Hard,3,R32,Jaqueline Cristian,Xiyu Wang,B,87.0,71.0,103.0,100.0,50.0,73.0,40.0,51.0,21.0,15.0,2.0,5.0,10.0,4.0,6.0,6.0,10.0,8.0
WTA:2024-1049:277,2024-01-01,Auckland,Hard,3,R32,Xin Yu Wang,Yulia Putintseva,A,35.0,63.0,67.0,83.0,42.0,63.0,29.0,36.0,9.0,6.0,2.0,0.0,2.0,0.0,1.0,7.0,5.0,13.0
WTA:2024-1049:278,2024-01-01,Auckland,Hard,3,R32,Petra Martic,Rebeka Masarova,A,41.0,65.0,78.0,95.0,50.0,61.0,30.0,38.0,20.0,16.0,5.0,4.0,2.0,4.0,4.0,8.0,6.0,12.0
WTA:2024-1049:279,2024-01-01,Auckland,Hard,3,R32,Kayla Day,Yue Yuan,B,89.0,77.0,118.0,109.0,74.0,75.0,45.0,51.0,22.0,22.0,8.0,1.0,2.0,0.0,6.0,5.0,11.0,8.0
